ZIP Code,2020,2021,2022,Population Growth
01960,52880.0,54051.0,54057.0,1177.0
01965,,903.0,803.0,
01966,7269.0,7014.0,6973.0,-296.0
01969,6375.0,6135.0,6175.0,-200.0
01970,43120.0,44372.0,44435.0,1315.0
01982,8048.0,7641.0,7612.0,-436.0
01983,6613.0,6530.0,6532.0,-81.0
01984,5208.0,5006.0,4933.0,-275.0
01985,4688.0,4500.0,4521.0,-167.0
02019,17196.0,16934.0,17025.0,-171.0
02021,23615.0,24122.0,24293.0,678.0
02025,8520.0,8295.0,8330.0,-190.0
02026,25316.0,25308.0,25150.0,-166.0
02030,6079.0,5894.0,5886.0,-193.0
02032,4360.0,4878.0,4847.0,487.0
02035,17917.0,18431.0,18476.0,559.0
02038,33644.0,33057.0,32777.0,-867.0
02043,23983.0,24061.0,24143.0,160.0
02045,10478.0,10120.0,10116.0,-362.0
02047,156.0,187.0,218.0,62.0
02048,24145.0,23768.0,23831.0,-314.0
02050,26109.0,25841.0,25915.0,-194.0
02052,12926.0,12775.0,12844.0,-82.0
02053,13398.0,13610.0,13164.0,-234.0
02054,8288.0,8481.0,8565.0,277.0
02056,11861.0,11531.0,11527.0,-334.0
02061,11120.0,11258.0,11281.0,161.0
02062,29446.0,31256.0,31343.0,1897.0
02066,18511.0,18781.0,18718.0,207.0
02067,18653.0,18477.0,18473.0,-180.0
02071,1230.0,1248.0,1480.0,250.0
02072,28742.0,29028.0,29051.0,309.0
02081,19850.0,20287.0,19990.0,140.0
02090,16229.0,16066.0,16149.0,-80.0
02093,11930.0,12077.0,12173.0,243.0
02108,4520.0,4225.0,4218.0,-302.0
02109,3639.0,3627.0,3559.0,-80.0
02110,2340.0,2307.0,2337.0,-3.0
02111,7949.0,7841.0,8417.0,468.0
02113,7339.0,6726.0,6688.0,-651.0
02114,13260.0,13401.0,13356.0,96.0
02115,29134.0,28559.0,27838.0,-1296.0
02116,23007.0,22587.0,22286.0,-721.0
02118,28892.0,27718.0,28392.0,-500.0
02119,27426.0,28307.0,26821.0,-605.0
02120,15210.0,15082.0,14364.0,-846.0
02121,29570.0,29888.0,29820.0,250.0
02122,24874.0,23747.0,24705.0,-169.0
02124,57128.0,56070.0,55336.0,-1792.0
02125,34725.0,32614.0,31903.0,-2822.0
02126,29807.0,25572.0,24994.0,-4813.0
02127,36941.0,35266.0,36175.0,-766.0
02128,47804.0,45501.0,45357.0,-2447.0
02129,20504.0,20411.0,19832.0,-672.0
02130,42021.0,41112.0,41479.0,-542.0
02131,34048.0,32609.0,31637.0,-2411.0
02132,28263.0,26437.0,26488.0,-1775.0
02133,,0.0,0.0,
02134,19552.0,18437.0,17969.0,-1583.0
02135,45496.0,45024.0,44480.0,-1016.0
02136,36417.0,40947.0,39498.0,3081.0
02138,39139.0,39370.0,38006.0,-1133.0
02139,39702.0,39707.0,39856.0,154.0
02140,20954.0,20060.0,21553.0,599.0
02141,14437.0,13953.0,14402.0,-35.0
02142,4074.0,4172.0,4474.0,400.0
02143,25102.0,25264.0,25329.0,227.0
02144,25009.0,25367.0,25022.0,13.0
02145,28372.0,27359.0,27692.0,-680.0
02148,60710.0,65386.0,65463.0,4753.0
02149,46275.0,48584.0,48685.0,2410.0
02150,39862.0,40009.0,39875.0,13.0
02151,53416.0,60736.0,60592.0,7176.0
02152,18558.0,19088.0,19031.0,473.0
02155,60533.0,62996.0,63873.0,3340.0
02163,2343.0,2198.0,1994.0,-349.0
02169,56999.0,60459.0,60938.0,3939.0
02170,19163.0,20130.0,19928.0,765.0
02171,18227.0,19923.0,19882.0,1655.0
02176,28054.0,29401.0,29477.0,1423.0
02180,23625.0,23077.0,22992.0,-633.0
02184,37196.0,38712.0,38748.0,1552.0
02186,27590.0,28414.0,28683.0,1093.0
02188,16114.0,16169.0,15313.0,-801.0
02189,15337.0,15265.0,15567.0,230.0
02190,17466.0,17927.0,18516.0,1050.0
02191,8296.0,7856.0,7904.0,-392.0
02199,1435.0,1232.0,1221.0,-214.0
02203,24.0,0.0,0.0,-24.0
02205,,0.0,0.0,
02210,4538.0,4830.0,5706.0,1168.0
02215,26243.0,25856.0,24522.0,-1721.0
02301,63920.0,68571.0,69225.0,5305.0
02302,31820.0,35645.0,35488.0,3668.0
02322,4513.0,4740.0,4730.0,217.0
02324,27441.0,25245.0,25819.0,-1622.0
02325,,3082.0,2712.0,
02330,11745.0,11641.0,11641.0,-104.0
02332,15912.0,16004.0,16041.0,129.0
02333,14509.0,14403.0,14382.0,-127.0
02338,7830.0,7737.0,7728.0,-102.0
02339,14526.0,14742.0,14773.0,247.0
02341,10874.0,10419.0,10513.0,-361.0
02343,11051.0,11309.0,11282.0,231.0
02346,25139.0,24219.0,24268.0,-871.0
02347,11531.0,11514.0,11625.0,94.0
02350,,182.0,106.0,
02351,16557.0,16974.0,17003.0,446.0
02356,12474.0,11943.0,12201.0,-273.0
02357,1050.0,1582.0,1319.0,269.0
02359,18455.0,18329.0,18330.0,-125.0
02360,60797.0,60793.0,61412.0,615.0
02364,13746.0,13618.0,13702.0,-44.0
02366,194.0,194.0,216.0,22.0
02367,2979.0,2934.0,2923.0,-56.0
02368,34214.0,34696.0,34747.0,533.0
02370,18010.0,17774.0,17721.0,-289.0
02375,11336.0,11437.0,11501.0,165.0
02379,7254.0,7622.0,7648.0,394.0
02382,15139.0,15116.0,15146.0,7.0
02420,14726.0,15451.0,16356.0,1630.0
02421,18578.0,18784.0,17865.0,-713.0
02445,20520.0,21485.0,22124.0,1604.0
02446,29711.0,31764.0,31517.0,1806.0
02451,17470.0,17965.0,18379.0,909.0
02452,15636.0,16193.0,15830.0,194.0
02453,29289.0,30441.0,30365.0,1076.0
02457,1812.0,1848.0,1758.0,-54.0
02458,12050.0,12428.0,12706.0,656.0
02459,18631.0,19081.0,19182.0,551.0
02460,9885.0,9638.0,9888.0,3.0
02461,6923.0,6899.0,7049.0,126.0
02462,1222.0,1381.0,1438.0,216.0
02464,3706.0,3595.0,3440.0,-266.0
02465,11967.0,11574.0,11823.0,-144.0
02466,9292.0,9109.0,8859.0,-433.0
02467,22982.0,23328.0,21709.0,-1273.0
02468,5522.0,5305.0,5589.0,67.0
02472,35951.0,35229.0,35300.0,-651.0
02474,27853.0,28028.0,28167.0,314.0
02476,17526.0,18017.0,17739.0,213.0
02478,26123.0,27016.0,26964.0,841.0
02481,16121.0,16997.0,17100.0,979.0
02482,10814.0,10520.0,11004.0,190.0
02492,20679.0,20927.0,21192.0,513.0
02493,12103.0,11806.0,11759.0,-344.0
02494,10498.0,10881.0,10765.0,267.0
02532,13443.0,12715.0,13092.0,-351.0
02534,1082.0,1127.0,1460.0,378.0
02535,2005.0,2151.0,2269.0,264.0
02536,19629.0,20261.0,20909.0,1280.0
02537,6824.0,7124.0,6408.0,-416.0
02538,4129.0,4663.0,4494.0,365.0
02539,4358.0,5084.0,5159.0,801.0
02540,8241.0,8888.0,8615.0,374.0
02542,948.0,847.0,766.0,-182.0
02543,680.0,924.0,801.0,121.0
02553,96.0,30.0,76.0,-20.0
02554,11023.0,13585.0,13861.0,2838.0
