ZIP Code,Population,Year
02343,11051,2020
02346,25139,2020
02347,11531,2020
02351,16557,2020
02356,12474,2020
02357,1050,2020
02359,18455,2020
02360,60797,2020
02364,13746,2020
02366,194,2020
02367,2979,2020
02368,34214,2020
02370,18010,2020
02375,11336,2020
02379,7254,2020
02382,15139,2020
02420,14726,2020
02421,18578,2020
02445,20520,2020
02446,29711,2020
02451,17470,2020
02452,15636,2020
02453,29289,2020
02457,1812,2020
02458,12050,2020
02459,18631,2020
02460,9885,2020
02461,6923,2020
02462,1222,2020
02464,3706,2020
02465,11967,2020
02466,9292,2020
02467,22982,2020
02468,5522,2020
02472,35951,2020
02474,27853,2020
02476,17526,2020
02478,26123,2020
02481,16121,2020
02482,10814,2020
02492,20679,2020
02493,12103,2020
02494,10498,2020
02532,13443,2020
02534,1082,2020
02535,2005,2020
02536,19629,2020
02537,6824,2020
02538,4129,2020
02539,4358,2020
02540,8241,2020
02542,948,2020
02543,680,2020
02553,96,2020
02554,11023,2020
02556,2554,2020
02557,4701,2020
02558,1632,2020
02559,3228,2020
02561,257,2020
02562,2814,2020
02563,9728,2020
02564,189,2020
02568,4132,2020
02571,10858,2020
02575,2197,2020
02576,4171,2020
02584,0,2020
02601,14939,2020
02630,1892,2020
02631,9565,2020
02632,11105,2020
02633,4040,2020
02635,2826,2020
02637,184,2020
02638,3028,2020
02639,3147,2020
02641,202,2020
02642,4873,2020
02643,0,2020
02644,3744,2020
02645,9730,2020
02646,1715,2020
02647,121,2020
02648,6833,2020
02649,14204,2020
02650,865,2020
02651,23,2020
02652,710,2020
02653,5865,2020
02655,3100,2020
02657,2972,2020
02659,992,2020
02660,6336,2020
02663,106,2020
02664,8565,2020
02666,366,2020
02667,3556,2020
02668,2696,2020
02669,112,2020
02670,1190,2020
02671,940,2020
02672,261,2020
02673,8875,2020
02675,6392,2020
02702,4450,2020
02703,45023,2020
02713,37,2020
02715,3934,2020
02717,4914,2020
02718,6748,2020
02719,16072,2020
02720,30579,2020
02721,25826,2020
02723,15340,2020
02724,17506,2020
02725,2647,2020
02726,15513,2020
02738,5148,2020
02739,6374,2020
02740,43444,2020
02743,10589,2020
02744,11695,2020
02745,24836,2020
02746,15283,2020
02747,23051,2020
02748,11212,2020
02760,27615,2020
02762,9227,2020
02763,1666,2020
02764,3911,2020
02766,19874,2020
02767,14626,2020
02769,12285,2020
02770,5461,2020
02771,15613,2020
02777,16692,2020
02779,6801,2020
02780,50299,2020
02790,15879,2020
02791,373,2020
02802,501,2020
02804,2005,2020
02806,16106,2020
02807,871,2020
02808,2466,2020
02809,22095,2020
02812,1300,2020
02813,7832,2020
02814,8033,2020
02815,150,2020
02816,32683,2020
02817,6297,2020
02818,18790,2020
02822,6018,2020
02825,5964,2020
02826,382,2020
02827,2194,2020
02828,7528,2020
02830,5624,2020
02831,3725,2020
02832,4713,2020
02833,932,2020
02835,5494,2020
02836,165,2020
02837,3496,2020
02838,3521,2020
02839,2100,2020
02840,22976,2020
02841,1792,2020
02842,15931,2020
02852,21653,2020
02857,7969,2020
02858,613,2020
02859,7992,2020
02860,47175,2020
02861,24764,2020
02863,19437,2020
02864,34936,2020
02865,17876,2020
02871,17108,2020
02872,204,2020
02873,130,2020
02874,6620,2020
02875,439,2020
02876,577,2020
02878,15730,2020
02879,20851,2020
02881,7593,2020
02882,14204,2020
02885,10451,2020
02886,29443,2020
02888,17901,2020
02889,27531,2020
02891,21196,2020
02892,5502,2020
02893,29283,2020
02894,512,2020
02895,41616,2020
02896,11901,2020
02898,1137,2020
02903,11443,2020
02904,29881,2020
02905,26020,2020
02906,28254,2020
02907,31277,2020
02908,37792,2020
02909,40286,2020
02910,21746,2020
02911,15627,2020
02912,1279,2020
02914,21720,2020
02915,16423,2020
02916,9292,2020
02917,14260,2020
02919,29312,2020
02920,36695,2020
02921,12463,2020
03031,11484,2020
03032,5514,2020
03033,5394,2020
03034,4088,2020
03036,5191,2020
03037,4363,2020
03038,33705,2020
03042,6989,2020
03043,1574,2020
03044,4695,2020
03045,13766,2020
03046,2846,2020
03047,1828,2020
03048,3564,2020
03049,7973,2020
03051,25543,2020
03052,8560,2020
03053,26028,2020
03054,26314,2020
03055,15906,2020
03057,2662,2020
03060,30092,2020
03062,28550,2020
03063,16126,2020
