ZIP Code,2020,2021,2022,Diversity Growth Metric
01002,0.440592,0.44617399999999996,0.452874,3
01003,0.520546,0.543365,0.5658870000000001,3
01005,0.10767999999999989,0.06966399999999984,0.10311400000000004,2
01007,0.15466099999999994,0.15648300000000004,0.18490600000000001,3
01008,0.03930200000000006,0.03151499999999974,0.03151499999999974,2
01009,0.0,0.0,0.0,2
01010,0.27373400000000003,0.3072070000000001,0.3305969999999999,3
01011,0.06615899999999997,0.04539100000000007,0.05895600000000001,2
01012,0.06837500000000007,0.039200000000000124,0.04494200000000004,2
01013,0.40366199999999997,0.435206,0.5125379999999999,4
01020,0.25057300000000005,0.3012699999999998,0.3118740000000001,3
01022,0.44145900000000005,0.4193800000000001,0.42996599999999985,2
01026,0.033514000000000044,0.05836700000000006,0.08862199999999976,3
01027,0.11819500000000005,0.17698999999999998,0.21900299999999995,4
01028,0.17589699999999986,0.18272699999999997,0.20781099999999997,3
01029,0.03354199999999996,0.027688000000000046,0.021793999999999758,2
01030,0.10398700000000005,0.11870600000000009,0.12807100000000016,3
01031,0.17669099999999993,0.17549899999999996,0.2102139999999999,3
01032,0.01593600000000006,0.017919000000000018,0.01990000000000003,3
01033,0.07637000000000005,0.06848500000000002,0.1003670000000001,3
01034,0.103769,0.13598200000000005,0.10368400000000011,2
01035,0.23329100000000003,0.20245400000000013,0.15823900000000002,2
01036,0.11417500000000014,0.1581849999999998,0.13392799999999982,3
01037,0.11132199999999981,0.07545299999999999,0.11494800000000005,3
01038,0.12164199999999992,0.2212390000000003,0.2423909999999998,4
01039,0.13758400000000015,0.1136680000000001,0.10421600000000009,2
01040,0.3493059999999999,0.43916599999999995,0.5057529999999999,4
01050,0.11475400000000002,0.11809500000000006,0.08886499999999986,2
01053,0.09640700000000002,0.187994,0.22298300000000004,4
01054,0.1586059999999999,0.15100500000000006,0.1905349999999999,3
01056,0.14324499999999996,0.20091100000000006,0.2117309999999999,3
01057,0.07627100000000009,0.08966599999999991,0.10464800000000007,3
01060,0.28421399999999974,0.260803,0.2595139999999999,2
01062,0.16518200000000005,0.18936999999999993,0.21201000000000014,3
01063,0.438866,0.519622,0.5728059999999999,4
01066,0.0,0.0,0.0,2
01068,0.045294000000000056,0.09802999999999984,0.1253589999999999,3
01069,0.19925799999999994,0.2543430000000001,0.23986300000000005,3
01070,0.25471,0.19139799999999996,0.20291499999999996,2
01071,0.13099400000000005,0.1507909999999999,0.13478299999999988,3
01072,0.253895,0.18789,0.16219000000000006,2
01073,0.12677100000000008,0.19978300000000004,0.1638909999999999,3
01074,0.12675199999999998,0.09139199999999992,0.08230199999999988,2
01075,0.18886899999999995,0.21322600000000014,0.21625899999999998,3
01077,0.10065400000000002,0.09480600000000006,0.1322580000000001,3
01079,0.0,0.14437499999999992,0.10885999999999985,4
01080,0.30427400000000004,0.30450299999999997,0.3889910000000002,3
01081,0.0643929999999997,0.08678999999999992,0.09230099999999986,3
01082,0.09479100000000007,0.1080629999999998,0.15342999999999984,3
01083,0.08606400000000003,0.12562699999999982,0.21838100000000005,4
01084,0.258679,0.275799,0.0,1
01085,0.18919799999999987,0.23117900000000013,0.26320999999999994,3
01086,0.16948699999999994,,,
01088,0.01783800000000002,0.08797500000000003,0.08606400000000003,3
01089,0.28489299999999973,0.3405889999999999,0.34275999999999984,3
01092,0.046848,0.04875000000000007,0.041117999999999766,2
01093,0.0,0.0,0.0,2
01094,0.07126200000000016,0.0,0.0,2
01095,0.13886999999999983,0.1389809999999999,0.1938040000000001,3
01096,0.005981999999999932,0.027704000000000062,0.0832099999999999,3
01097,0.08230199999999988,0.0,0.0,2
01098,0.015927000000000024,0.025767000000000095,0.05658300000000005,3
01103,0.733985,0.712648,0.7171529999999999,2
01104,0.5680859999999999,0.6445099999999999,0.7123820000000001,4
01105,0.69863,0.7463740000000001,0.747554,3
01106,0.21951700000000007,0.22062599999999988,0.21837800000000007,2
01107,0.6172219999999999,0.6989019999999999,0.769979,4
01108,0.624913,0.6793469999999999,0.731044,4
01109,0.639022,0.6824539999999999,0.719353,3
01118,0.49445800000000006,0.530141,0.592573,3
01119,0.5368809999999999,0.609526,0.6535179999999999,4
01128,0.419991,0.3807499999999999,0.4557270000000001,3
01129,0.4655260000000001,0.48800600000000005,0.540742,3
01144,,1.0,1.0,
01151,0.568908,0.6265099999999999,0.6564380000000001,3
01199,1.0,,,
01201,0.2594289999999999,0.2933150000000001,0.310531,3
01220,0.09867399999999993,0.10234199999999993,0.10377900000000007,3
01222,0.0705349999999999,0.023839999999999972,0.0,2
01223,0.1264179999999998,0.13838899999999987,0.15034599999999987,3
01224,0.0,0.0,0.0,2
01225,0.09059600000000001,0.13123300000000004,0.18235400000000002,3
01226,0.03559000000000001,0.06647100000000006,0.10181299999999993,3
01229,0.0,0.0,0.0,2
01230,0.115734,0.163034,0.18606100000000003,3
01235,0.06808999999999998,0.09820199999999979,0.13628700000000016,3
01236,0.3904829999999999,0.2563460000000001,0.3587799999999999,2
